well;stratum;median;minValue;maxValue;sumValue;column
2;8618;231,764158004;0,0164;6785,4;109856,210893790;OT
2;8618;472,301872344;0,7875;7522,678611;227177,200597231;WT
2;8618;1173,849747480;1,25;10934,66667;154948,166667403;G
2;8618;838,35959897;17,50284039;10873,91544;200367,94415445;LM
2;8618;107,963364019;0,021425585;1117,327463;24939,537088326;OM3
3;8617;1621,34;78,4;21934,95;381013,94;OT
3;8617;20870,01809052;0,875;186572,2222;4904454,25127319;WT
3;8617;0;0;0;0;G
3;8617;0;0;0;0;LM
3;8617;0;0;0;0;OM3
18;8602;41,94521377;0,168;411,992;4781,75436930;OT
18;8602;126,568991377;0,07;7438,693333;22402,711473692;WT
18;8602;253,9629630;1,25;617,3333333;2285,6666666;G
18;8602;870,81425634;65;7769,93906;17416,28512683;LM
18;8602;23,743274648;0,227601156;73,4304552;474,865492960;OM3
